tokens,topk,experts,block_size,cg_mean,cg_std,cg_min,cg_max,gm_mean,gm_std,gm_min,gm_max,cg_speedup,cg_adv_pct,winner
1,2,32,32,13.5234766,0.35818107361289864,13.2138,14.467971,10.922838299999999,0.19506446424312063,10.711891,11.34628,0.8076945465339881,-19.23054534660119,GM
1,2,128,32,9.9890315,0.11197981071132591,9.80564,10.17975,14.1369225,0.05123180010989295,14.062361,14.19832,1.4152445609967295,41.524456099672946,CG
1,3,32,32,8.5248556,0.04905346112196814,8.462131,8.633491,6.192246,0.04997955630944422,6.09301,6.2464,0.7263754708056286,-27.362452919437143,GM
1,3,128,32,9.5253843,0.08179033958040388,9.394951,9.64838,14.172486699999999,0.06217285518625572,14.078771,14.26577,1.487865082776765,48.7865082776765,CG
1,4,32,32,8.512076500000001,0.05095257799878468,8.45661,8.63204,6.1833081,0.042738291840378195,6.1151,6.23654,0.7264159456273682,-27.35840543726318,GM
1,4,128,32,9.551520499999999,0.08261574326866145,9.37985,9.698901,14.1557608,0.06766306405976283,14.06754,14.25831,1.48204265488411,48.20426548841099,CG
3,2,32,32,8.5208516,0.054512765518627625,8.45329,8.631371,6.2378781000000005,0.04519635529172156,6.1577,6.31828,0.732072144056587,-26.792785594341296,GM
3,2,128,32,9.5535534,0.10781379398883341,9.39559,9.770861,14.176811599999999,0.05812386807538252,14.096931,14.264741,1.4839307435074365,48.393074350743646,CG
3,3,32,32,8.4995996,0.05004831459522105,8.44141,8.610961,6.228542299999999,0.03826353531046988,6.1747,6.290501,0.7328042017414561,-26.71957982585439,GM
3,3,128,32,9.5301805,0.08182337207702652,9.3809,9.611271,14.242537500000001,0.04979824028852146,14.171771,14.325291,1.4944667102580063,49.446671025800626,CG
3,4,32,32,8.673808300000001,0.02662796878409334,8.64031,8.707891,6.4176442,0.04786132412803562,6.33412,6.49187,0.7398877146039761,-26.011228539602392,GM
3,4,128,32,9.6020955,0.11180340498815096,9.409491,9.81205,14.2549676,0.04799494550748733,14.17557,14.321521,1.4845684048862042,48.45684048862042,CG
256,2,32,32,10.4508128,0.06290563300125752,10.371361,10.545331,7.1375001,0.045667613665241566,7.06953,7.21354,0.6829612429762401,-31.703875702375996,GM
256,2,128,32,9.8963423,0.08877386275131294,9.80959,10.10707,15.4364904,0.0407996096963901,15.366421,15.492101,1.5598177520597685,55.981775205976845,CG
256,3,32,32,11.551919700000001,0.037189267039025656,11.48057,11.602901,7.4682091999999995,0.03921595833841105,7.40268,7.53221,0.6464907473344018,-35.35092526655982,GM
256,3,128,32,9.952544399999999,0.08551652323147875,9.85597,10.080541,15.9135685,0.04549203368906161,15.82233,15.97795,1.5989447381917736,59.894473819177364,CG
256,4,32,32,9.9665983,0.12160215692261928,9.844841,10.23798,7.9260566,0.03191642309811335,7.875741,7.98907,0.7952619701749192,-20.473802982508083,GM
256,4,128,32,9.9872436,0.10795714081492365,9.854661,10.16103,16.3591506,0.04861229421818626,16.264791,16.415411,1.6380045641422025,63.80045641422025,CG
4096,2,32,32,15.0874183,0.14059609204862145,14.96504,15.433941,18.7447621,0.022251568021901747,18.712851,18.786322,1.2424101809386434,24.24101809386434,CG
4096,2,128,32,14.5961118,0.11915079836427653,14.435311,14.878571,29.5360586,0.03426750740278734,29.464893,29.585451,2.0235566159475433,102.35566159475434,CG
4096,3,32,32,18.1359966,0.07869494674613997,18.01214,18.232061,25.1352107,0.02277359502703918,25.110151,25.183043,1.3859293897309177,38.592938973091776,CG
4096,3,128,32,17.3881518,0.08181884516526627,17.260441,17.516191,36.9245582,0.025443897748228465,36.88818,36.960613,2.123547035056365,112.35470350563652,CG
4096,4,32,32,20.824111199999997,0.08712689145123663,20.603001,20.909781,31.639711499999997,0.031511533533154036,31.584541,31.682461,1.5193787238324006,51.937872383240055,CG
4096,4,128,32,19.848762,0.12024570926787073,19.643061,20.081602,44.623566499999995,0.021426520245559397,44.584824,44.649158,2.248178828483106,124.81788284831059,CG
8192,2,32,32,20.984807699999998,0.0745571776245887,20.86842,21.115252,31.3216027,0.025607013891813902,31.2756,31.372271,1.4925846902090032,49.25846902090032,CG
8192,2,128,32,19.8450162,0.09657439188613956,19.689312,19.984921,44.4795357,0.04033038783748968,44.44001,44.56929,2.2413453963318006,124.13453963318007,CG
8192,3,32,32,46.3021351,0.08240675308688133,46.146629,46.424381,44.4766156,0.019843896437499488,44.450695,44.510544,0.9605737511659587,-3.9426248834041333,GM
8192,3,128,32,25.141064399999998,0.07391509621060015,25.014542,25.251371,59.860088,0.03156968313288982,59.799923,59.904762,2.380968723026699,138.0968723026699,CG
8192,4,32,32,59.042365800000006,0.08093824789965823,58.894577,59.11182,57.76904449999999,0.022409400310534722,57.741302,57.812294,0.9784337689937213,-2.1566231006278747,GM
8192,4,128,32,31.030561499999997,0.12043634971150992,30.769611,31.226051,75.56868060000001,0.035578330412393964,75.516243,75.638405,2.4352985233605913,143.52985233605912,CG
