job_id,node,backend,size_bytes,loop_count,trial,avg_time_s,gbps,correctness
946595,gn1230,MPI,524288,50,1,0.000034670,15.122255693,PASS
946595,gn1230,MPI,524288,50,2,0.000034525,15.185696675,PASS
946595,gn1230,MPI,524288,50,3,0.000033036,15.870389558,PASS
946595,gn1230,MPI,1048576,50,1,0.000054017,19.411908996,PASS
946595,gn1230,MPI,1048576,50,2,0.000054199,19.346681238,PASS
946595,gn1230,MPI,1048576,50,3,0.000052939,19.807305977,PASS
946595,gn1230,MPI,2097152,50,1,0.000097176,21.581037560,PASS
946595,gn1230,MPI,2097152,50,2,0.000097230,21.568936400,PASS
946595,gn1230,MPI,2097152,50,3,0.000097318,21.549470329,PASS
946595,gn1230,MPI,4194304,50,1,0.000184651,22.714763380,PASS
946595,gn1230,MPI,4194304,50,2,0.000184297,22.758334907,PASS
946595,gn1230,MPI,4194304,50,3,0.000184736,22.704291060,PASS
946595,gn1230,MPI,8388608,50,1,0.000359354,23.343565949,PASS
946595,gn1230,MPI,8388608,50,2,0.000359476,23.335650038,PASS
946595,gn1230,MPI,8388608,50,3,0.000358561,23.395236692,PASS
946595,gn1230,MPI,16777216,50,1,0.000706184,23.757576993,PASS
946595,gn1230,MPI,16777216,50,2,0.000706167,23.758133112,PASS
946595,gn1230,MPI,16777216,50,3,0.000706214,23.756571471,PASS
946595,gn1230,MPI,33554432,50,1,0.001398776,23.988418163,PASS
946595,gn1230,MPI,33554432,50,2,0.001398535,23.992551579,PASS
946595,gn1230,MPI,33554432,50,3,0.001398363,23.995503715,PASS
946595,gn1230,MPI,67108864,50,1,0.002782629,24.117076181,PASS
946595,gn1230,MPI,67108864,50,2,0.002782389,24.119151849,PASS
946595,gn1230,MPI,67108864,50,3,0.002782684,24.116594305,PASS
946595,gn1230,MPI,134217728,50,1,0.005549816,24.184177808,PASS
946595,gn1230,MPI,134217728,50,2,0.005549625,24.185009103,PASS
946595,gn1230,MPI,134217728,50,3,0.005549105,24.187274013,PASS
946595,gn1230,MPI,268435456,50,1,0.011084058,24.218156684,PASS
946595,gn1230,MPI,268435456,50,2,0.011083358,24.219685899,PASS
946595,gn1230,MPI,268435456,50,3,0.011083342,24.219721015,PASS
946595,gn1230,MPI,536870912,50,1,0.022148221,24.239911223,PASS
946595,gn1230,MPI,536870912,50,2,0.022148350,24.239770118,PASS
946595,gn1230,MPI,536870912,50,3,0.022148039,24.240110227,PASS
946595,gn1230,MPI,1073741824,50,1,0.044276408,24.250879353,PASS
946595,gn1230,MPI,1073741824,50,2,0.044290278,24.243284747,PASS
946595,gn1230,MPI,1073741824,50,3,0.044277587,24.250233526,PASS
946595,gn1230,NCCL,524288,50,1,0.000050918,10.296702250,PASS
946595,gn1230,NCCL,524288,50,2,0.000051929,10.096225412,PASS
946595,gn1230,NCCL,524288,50,3,0.000051097,10.260553171,PASS
946595,gn1230,NCCL,1048576,50,1,0.000073924,14.184515744,PASS
946595,gn1230,NCCL,1048576,50,2,0.000074050,14.160332228,PASS
946595,gn1230,NCCL,1048576,50,3,0.000073973,14.175079623,PASS
946595,gn1230,NCCL,2097152,50,1,0.000120190,17.448697724,PASS
946595,gn1230,NCCL,2097152,50,2,0.000120580,17.392257714,PASS
946595,gn1230,NCCL,2097152,50,3,0.000120376,17.421738078,PASS
946595,gn1230,NCCL,4194304,50,1,0.000216042,19.414278403,PASS
946595,gn1230,NCCL,4194304,50,2,0.000216458,19.377027967,PASS
946595,gn1230,NCCL,4194304,50,3,0.000216174,19.402479331,PASS
946595,gn1230,NCCL,8388608,50,1,0.000416777,20.127353147,PASS
946595,gn1230,NCCL,8388608,50,2,0.000417195,20.107176812,PASS
946595,gn1230,NCCL,8388608,50,3,0.000416673,20.132347873,PASS
946595,gn1230,NCCL,16777216,50,1,0.000801317,20.937061261,PASS
946595,gn1230,NCCL,16777216,50,2,0.000801580,20.930176361,PASS
946595,gn1230,NCCL,16777216,50,3,0.000801332,20.936656803,PASS
946595,gn1230,NCCL,33554432,50,1,0.001494959,22.445046115,PASS
946595,gn1230,NCCL,33554432,50,2,0.001495033,22.443941003,PASS
946595,gn1230,NCCL,33554432,50,3,0.001495192,22.441553394,PASS
946595,gn1230,NCCL,67108864,50,1,0.002959529,22.675523288,PASS
946595,gn1230,NCCL,67108864,50,2,0.002959469,22.675979485,PASS
946595,gn1230,NCCL,67108864,50,3,0.002959930,22.672449457,PASS
946595,gn1230,NCCL,134217728,50,1,0.005888237,22.794214176,PASS
946595,gn1230,NCCL,134217728,50,2,0.005888638,22.792662417,PASS
946595,gn1230,NCCL,134217728,50,3,0.005888613,22.792759299,PASS
946595,gn1230,NCCL,268435456,50,1,0.011746114,22.853129566,PASS
946595,gn1230,NCCL,268435456,50,2,0.011746661,22.852064794,PASS
946595,gn1230,NCCL,268435456,50,3,0.011746534,22.852311183,PASS
946595,gn1230,NCCL,536870912,50,1,0.023461366,22.883190738,PASS
946595,gn1230,NCCL,536870912,50,2,0.023461673,22.882891424,PASS
946595,gn1230,NCCL,536870912,50,3,0.023461847,22.882721172,PASS
946595,gn1230,NCCL,1073741824,50,1,0.046892046,22.898165530,PASS
946595,gn1230,NCCL,1073741824,50,2,0.046892524,22.897932043,PASS
946595,gn1230,NCCL,1073741824,50,3,0.046892594,22.897897838,PASS
