tokens,topk,experts,block_size,cg_mean,cg_std,cg_min,cg_max,gm_mean,gm_std,gm_min,gm_max,cg_vs_gm_speedup,cg_adv_pct,winner
1,2,32,32,13.405462499999999,0.09406497704748791,13.29156,13.611341,18.7403614,0.22811872547873943,18.480659,19.155031,1.3979645536287915,39.79645536287914,CG
1,2,128,32,10.0265505,0.07209706104543309,9.879761,10.12709,13.464746700000001,0.1829942770325829,13.23836,13.751721,1.3429091789843377,34.29091789843377,CG
1,3,32,32,8.5431366,0.03617621356391827,8.49761,8.59436,13.5929435,0.1548753867047459,13.41697,13.787101,1.591095183939819,59.10951839398191,CG
1,3,128,32,9.4460206,0.04537062336701016,9.397861,9.55115,13.261963900000001,0.7435625808570301,12.921201,15.349961,1.4039736373219427,40.39736373219427,CG
1,4,32,32,8.5283661,0.037703626098677515,8.46364,8.58197,13.507694800000001,0.07904359113636776,13.38821,13.619861,1.5838549426249422,58.38549426249422,CG
1,4,128,32,9.438038500000001,0.05651731347560671,9.344621,9.50598,13.0546516,0.12051762684465091,12.923221,13.31786,1.3831954171409662,38.319541714096616,CG
3,2,32,32,8.5424452,0.036390039527931926,8.48375,8.59022,13.5016506,0.08435270157196414,13.37289,13.678201,1.580536987231712,58.05369872317121,CG
3,2,128,32,9.4547254,0.0726473819765347,9.3546,9.54761,12.9712506,0.12923100114153932,12.77625,13.18734,1.371933086496621,37.19330864966211,CG
3,3,32,32,8.525142200000001,0.03147792625811143,8.461301,8.55576,13.4821809,0.17561328715893554,13.334851,13.786201,1.5814611162732275,58.14611162732275,CG
3,3,128,32,9.4596172,0.05715802605603377,9.36771,9.5825,12.993530400000001,0.18580137533350624,12.806261,13.37953,1.3735788801263544,37.35788801263544,CG
3,4,32,32,8.6656704,0.053635078366473375,8.577371,8.73606,13.593516399999999,0.13235984046630864,13.4104,13.82091,1.5686629853819503,56.866298538195025,CG
3,4,128,32,9.457058499999999,0.04348174687600417,9.410101,9.54202,12.9890828,0.09614205788519448,12.884541,13.175271,1.3734802211491028,37.348022114910286,CG
256,2,32,32,10.4502028,0.041445644845052504,10.400181,10.515441,15.454513700000001,0.11613307011551684,15.313301,15.656711,1.4788721325101941,47.88721325101941,CG
256,2,128,32,9.836005199999999,0.06554259162441188,9.72968,9.92273,13.879355799999999,0.13213040898782125,13.658451,14.062361,1.411076500854229,41.1076500854229,CG
256,3,32,32,11.5296623,0.03599671807586525,11.47649,11.58045,16.445205899999998,0.12574374159946744,16.31373,16.70117,1.4263389049998454,42.63389049998454,CG
256,3,128,32,9.8722712,0.05560942255049973,9.75751,9.926721,13.9443705,0.15163543418435496,13.713561,14.266671,1.4124784679740159,41.247846797401586,CG
256,4,32,32,9.8633414,0.05549393250557501,9.80327,9.96835,13.6379516,0.09063550410567009,13.50852,13.767361,1.382690819157897,38.269081915789705,CG
256,4,128,32,9.9245784,0.08365210077617097,9.7859,10.05309,13.9269007,0.16162076239081694,13.772891,14.186721,1.4032737854133934,40.32737854133934,CG
4096,2,32,32,15.001802699999999,0.07768064544738466,14.860691,15.10846,17.150767899999998,0.14058756078563792,16.908022,17.315472,1.1432471312264358,14.324713122643583,CG
4096,2,128,32,14.519490300000001,0.08426365399552632,14.433511,14.70003,17.8842228,0.10425371421766094,17.787321,18.08007,1.231739023235547,23.173902323554696,CG
4096,3,32,32,18.0637021,0.05080912194227035,17.9813,18.143881,19.432788,0.18457007161268396,19.25189,19.910582,1.0757920991179322,7.579209911793217,CG
4096,3,128,32,17.353581,0.06094099124563071,17.23777,17.427231,20.3316581,0.06911742050943344,20.26717,20.50288,1.1716116748468226,17.16116748468226,CG
4096,4,32,32,20.752968099999997,0.07142177407244665,20.6101,20.819412,21.2705306,0.07434698449716812,21.18173,21.41465,1.0249392037565943,2.493920375659431,CG
4096,4,128,32,19.8084361,0.07222322630789979,19.700941,19.909021,22.599380200000002,0.10517966669022454,22.427732,22.744221,1.1408967414646127,14.089674146461274,CG
8192,2,32,32,20.959399299999998,0.06881136965332643,20.87549,21.04154,21.2462057,0.15195817811932352,21.097742,21.526979,1.0136839036221807,1.3683903622180749,CG
8192,2,128,32,19.7976896,0.10176455396234743,19.570211,19.92425,22.512112899999998,0.11835347644093716,22.342251,22.676451,1.137108084571646,13.710808457164593,CG
8192,3,32,32,26.532289400000003,0.06013971836611374,26.431221,26.641201,25.151495,0.09144988158306012,25.060801,25.34395,0.9479579624968208,-5.204203750317915,GM
8192,3,128,32,25.1709708,0.09968257335139083,25.023653,25.329502,27.202041100000002,0.07132307375355902,27.084322,27.309111,1.0806909799442461,8.069097994424613,CG
8192,4,32,32,32.8738083,0.08362276568422018,32.690414,32.992081,29.5559595,0.0994794018469817,29.452671,29.786522,0.8990731840460359,-10.092681595396414,GM
8192,4,128,32,30.9836242,0.0703360130829155,30.86215,31.061762,32.5721834,0.06096769510195182,32.44828,32.637493,1.0512709291122888,5.127092911228881,CG
